
Dérive pour le trimestre 2016Q2 comparé à 2016Q1:
                   variable    type  drift_score  drift_detected    psi
               Credit_Score numeric     0.016539           False 0.0019
         Mortgage_Insurance numeric     0.048733           False 0.0074
            Number_of_units numeric     0.004503           False 0.0000
             CLoan_to_value numeric     0.051196           False 0.0155
             Debt_to_income numeric     0.008231           False 0.0010
             OLoan_to_value numeric     0.048840           False 0.0147
            Single_borrower numeric     0.006231           False 0.0000
       is_Loan_purpose_purc numeric     0.075629           False 0.0000
       is_Loan_purpose_cash numeric     0.042312           False 0.0000
       is_Loan_purpose_noca numeric     0.033317           False 0.0000
    is_First_time_homeowner numeric     0.031381           False 0.0000
 is_First_time_homeowner_No numeric     0.031381           False 0.0000
   is_Occupancy_status_prim numeric     0.011564           False 0.0000
   is_Occupancy_status_inve numeric     0.011051           False 0.0000
   is_Occupancy_status_seco numeric     0.000513           False 0.0000
is_Origination_channel_reta numeric     0.017335           False 0.0000
is_Origination_channel_brok numeric     0.002793           False 0.0000
is_Origination_channel_corr numeric     0.014542           False 0.0000
 is_Origination_channel_tpo numeric     0.000000           False 0.0000
      is_Property_type_cond numeric     0.003494           False 0.0000
      is_Property_type_coop numeric     0.000486           False 0.0000
      is_Property_type_manu numeric     0.000578           False 0.0000
       is_Property_type_pud numeric     0.009340           False 0.0000
      is_Property_type_sing numeric     0.011770           False 0.0000
                      DFlag numeric     0.001100           False 0.0000

Dérive pour le trimestre 2016Q3 comparé à 2016Q1:
                   variable    type  drift_score  drift_detected    psi
               Credit_Score numeric     0.027497           False 0.0045
         Mortgage_Insurance numeric     0.031907           False 0.0006
            Number_of_units numeric     0.004668           False 0.0000
             CLoan_to_value numeric     0.030073           False 0.0074
             Debt_to_income numeric     0.006804           False 0.0008
             OLoan_to_value numeric     0.028541           False 0.0070
            Single_borrower numeric     0.005921           False 0.0000
       is_Loan_purpose_purc numeric     0.036005           False 0.0000
       is_Loan_purpose_cash numeric     0.027661           False 0.0000
       is_Loan_purpose_noca numeric     0.008344           False 0.0000
    is_First_time_homeowner numeric     0.007262           False 0.0000
 is_First_time_homeowner_No numeric     0.007262           False 0.0000
   is_Occupancy_status_prim numeric     0.013413           False 0.0000
   is_Occupancy_status_inve numeric     0.013318           False 0.0000
   is_Occupancy_status_seco numeric     0.000095           False 0.0000
is_Origination_channel_reta numeric     0.017734           False 0.0000
is_Origination_channel_brok numeric     0.001307           False 0.0000
is_Origination_channel_corr numeric     0.016427           False 0.0000
 is_Origination_channel_tpo numeric     0.000000           False 0.0000
      is_Property_type_cond numeric     0.005821           False 0.0000
      is_Property_type_coop numeric     0.000310           False 0.0000
      is_Property_type_manu numeric     0.000335           False 0.0000
       is_Property_type_pud numeric     0.007400           False 0.0000
      is_Property_type_sing numeric     0.012576           False 0.0000
                      DFlag numeric     0.001572           False 0.0000

Dérive pour le trimestre 2016Q4 comparé à 2016Q1:
                   variable    type  drift_score  drift_detected    psi
               Credit_Score numeric     0.025781           False 0.0036
         Mortgage_Insurance numeric     0.018452           False 0.0033
            Number_of_units numeric     0.002538           False 0.0000
             CLoan_to_value numeric     0.016341           False 0.0096
             Debt_to_income numeric     0.013106           False 0.0011
             OLoan_to_value numeric     0.018650           False 0.0098
            Single_borrower numeric     0.000075           False 0.0000
       is_Loan_purpose_purc numeric     0.023855           False 0.0000
       is_Loan_purpose_cash numeric     0.005235           False 0.0000
       is_Loan_purpose_noca numeric     0.018620           False 0.0000
    is_First_time_homeowner numeric     0.017748           False 0.0000
 is_First_time_homeowner_No numeric     0.017748           False 0.0000
   is_Occupancy_status_prim numeric     0.011804           False 0.0000
   is_Occupancy_status_inve numeric     0.011817           False 0.0000
   is_Occupancy_status_seco numeric     0.000013           False 0.0000
is_Origination_channel_reta numeric     0.008751           False 0.0000
is_Origination_channel_brok numeric     0.008736           False 0.0000
is_Origination_channel_corr numeric     0.000015           False 0.0000
 is_Origination_channel_tpo numeric     0.000000           False 0.0000
      is_Property_type_cond numeric     0.000333           False 0.0000
      is_Property_type_coop numeric     0.000696           False 0.0000
      is_Property_type_manu numeric     0.000376           False 0.0000
       is_Property_type_pud numeric     0.002326           False 0.0000
      is_Property_type_sing numeric     0.001587           False 0.0000
                      DFlag numeric     0.004791           False 0.0000

Dérive pour le trimestre 2018Q1 comparé à 2016Q1:
                   variable    type  drift_score  drift_detected    psi
               Credit_Score numeric     0.014620           False 0.0020
         Mortgage_Insurance numeric     0.039275           False 0.0054
            Number_of_units numeric     0.001477           False 0.0000
             CLoan_to_value numeric     0.039376           False 0.0661
             Debt_to_income numeric     0.107081            True 0.1126
             OLoan_to_value numeric     0.039129           False 0.0654
            Single_borrower numeric     0.029924           False 0.0000
       is_Loan_purpose_purc numeric     0.077230           False 0.0000
       is_Loan_purpose_cash numeric     0.017228           False 0.0000
       is_Loan_purpose_noca numeric     0.094458           False 0.0000
    is_First_time_homeowner numeric     0.052096           False 0.0000
 is_First_time_homeowner_No numeric     0.052096           False 0.0000
   is_Occupancy_status_prim numeric     0.004417           False 0.0000
   is_Occupancy_status_inve numeric     0.002313           False 0.0000
   is_Occupancy_status_seco numeric     0.002104           False 0.0000
is_Origination_channel_reta numeric     0.022605           False 0.0000
is_Origination_channel_brok numeric     0.011889           False 0.0000
is_Origination_channel_corr numeric     0.034473           False 0.0000
 is_Origination_channel_tpo numeric     0.000000           False 0.0000
      is_Property_type_cond numeric     0.001616           False 0.0000
      is_Property_type_coop numeric     0.000486           False 0.0000
      is_Property_type_manu numeric     0.001150           False 0.0000
       is_Property_type_pud numeric     0.004494           False 0.0000
      is_Property_type_sing numeric     0.006774           False 0.0000
                      DFlag numeric     0.004260           False 0.0000

